 CMS Certification Number,Facility Name,Address,City,County,State,Zip,Telephone,Patients who reported that staff definitely gave care in a professional way and the facility was clean,Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean,Patients who reported that staff did not give care in a professional way or the facility was not clean,Facilities and staff linear mean score,Patients who reported that staff definitely communicated about what to expect during and after the procedure,Patients who reported that staff somewhat communicated about what to expect during and after the procedure,Patients who reported that staff did not communicate about what to expect during and after the procedure,Communication about your procedure linear mean score,Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest),Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest),Patients’ rating of the facility linear mean score,Patients who reported YES they would DEFINITELY recommend the facility to family or friends,Patients who reported PROBABLY YES they would recommend the facility to family or friends,"Patients who reported NO, they would not recommend the facility to family or friends",Patients recommending the facility linear mean score,Footnote,Number of Sampled Patients,Number of Completed Surveys,Survey Response Rate Percent,Measure Start Date,Measure End Date
330198,SOUTH NASSAU COMMUNITIES HOSPITAL,ONE HEALTHY WAY,OCEANSIDE,NASSAU,NY,11572,5166323000,,,,,,,,,,,,,,,,,4,,,,,
330201,KINGSBROOK JEWISH MEDICAL CENTER,585 SCHENECTADY AVENUE,BROOKLYN,KINGS,NY,11203,7186045789,94,5,1,97,87,9,4,92,79,18,3,92,75,19,6,88,2,844,168,20,10/1/2017,9/30/2018
330211,CLAXTON-HEPBURN MEDICAL CENTER,214 KING STREET,OGDENSBURG,ST. LAWRENCE,NY,13669,3153933600,97,3,0,98,90,7,3,94,76,20,4,91,68,28,4,88,,1240,305,25,10/1/2017,9/30/2018
330214,NEW YORK UNIVERSITY LANGONE MEDICAL CENTER,550 FIRST AVENUE,NEW YORK,NEW YORK,NY,10016,2122637300,97,3,0,98,89,8,3,93,88,10,2,94,86,11,3,94,,2903,681,24,10/1/2017,9/30/2018
330215,"ROME MEMORIAL HOSPITAL, INC",1500 NORTH JAMES STREET,ROME,ONEIDA,NY,13440,3153387000,,,,,,,,,,,,,,,,,4,,,,,
330223,MASSENA MEMORIAL HOSPITAL,1 HOSPITAL DRIVE,MASSENA,ST. LAWRENCE,NY,13662,3157641711,98,2,0,99,93,6,1,96,79,18,3,92,72,26,2,90,,1912,591,31,10/1/2017,9/30/2018
330229,BROOKS MEMORIAL HOSPITAL,529 CENTRAL AVENUE,DUNKIRK,CHAUTAUQUA,NY,14048,7163661111,,,,,,,,,,,,,,,,,4,,,,,
330235,AUBURN  COMMUNITY  HOSPITAL,17 LANSING STREET,AUBURN,CAYUGA,NY,13021,3152557011,97,3,0,98,91,8,1,95,75,22,3,91,63,35,2,87,,1097,317,29,10/1/2017,9/30/2018
330238,NICHOLAS H NOYES MEMORIAL HOSPITAL,111 CLARA BARTON STREET,DANSVILLE,LIVINGSTON,NY,14437,5853356001,97,3,0,98,91,7,2,95,87,12,1,94,83,15,2,93,,1231,433,35,10/1/2017,9/30/2018
330261,PHELPS MEMORIAL HOSPITAL CENTER,701 NORTH BROADWAY,SLEEPY HOLLOW,WESTCHESTER,NY,10591,9143663000,97,2,1,98,90,7,3,94,87,11,2,94,83,14,3,93,,1429,370,26,10/1/2017,9/30/2018
330270,HOSPITAL FOR SPECIAL SURGERY,535 EAST 70TH STREET,NEW YORK,NEW YORK,NY,10021,2126061000,,,,,,,,,,,,,,,,,4,,,,,
330276,NATHAN LITTAUER HOSPITAL,99 EAST STATE STREET,GLOVERSVILLE,FULTON,NY,12078,5187258621,96,3,1,98,90,8,2,94,81,16,3,92,72,26,2,90,,2809,852,30,10/1/2017,9/30/2018
330285,STRONG MEMORIAL HOSPITAL,601 ELMWOOD AVE,ROCHESTER,MONROE,NY,14642,5852752121,97,3,0,99,91,8,1,95,88,10,2,94,88,11,1,95,,6658,2023,31,10/1/2017,9/30/2018
330304,WHITE PLAINS HOSPITAL CENTER,41 EAST POST R0AD,WHITE PLAINS,WESTCHESTER,NY,10601,9146810600,98,2,0,99,93,6,1,96,90,9,1,95,90,8,2,96,,2935,769,29,10/1/2017,9/30/2018
330307,CAYUGA MEDICAL CENTER AT ITHACA,101 DATES DRIVE,ITHACA,TOMPKINS,NY,14850,6072744401,97,3,0,99,92,7,1,95,86,13,1,94,84,15,1,94,,1140,364,32,10/1/2017,9/30/2018
330331,PLAINVIEW HOSPITAL,888 OLD COUNTRY ROAD,PLAINVIEW,NASSAU,NY,11803,5167193000,98,2,0,99,94,5,1,97,87,12,1,94,82,16,2,93,,1483,407,27,10/1/2017,9/30/2018
330395,ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,327 BEACH 19TH STREET,FAR ROCKAWAY,QUEENS,NY,11691,7188697000,95,4,1,97,87,9,4,92,69,23,8,89,65,26,9,84,,1674,322,19,10/1/2017,9/30/2018
331305,O'CONNOR HOSPITAL,460 ANDES ROAD,DELHI,DELAWARE,NY,13753,6077460300,,,,,,,,,,,,,,,,,4,,,,,
331311,LITTLE FALLS HOSPITAL,140 BURWELL STREET,LITTLE FALLS,HERKIMER,NY,13365,3158235261,99,1,0,99,94,5,1,96,88,11,1,95,82,16,2,93,,835,321,38,10/1/2017,9/30/2018
340001,CAROLINAS MEDICAL CENTER-NORTHEAST,920 CHURCH ST N,CONCORD,CABARRUS,NC,28025,7047833000,96,3,1,98,89,8,3,93,87,11,2,94,86,12,2,94,,1648,343,21,10/1/2017,9/30/2018
340002,MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE,509 BILTMORE AVE,ASHEVILLE,BUNCOMBE,NC,28801,8282131111,96,3,1,98,90,8,2,94,87,11,2,95,90,8,2,96,,2402,607,26,10/1/2017,9/30/2018
340008,SCOTLAND MEMORIAL HOSPITAL,500 LAUCHWOOD DR,LAURINBURG,SCOTLAND,NC,28352,9102917000,,,,,,,,,,,,,,,,,4,,,,,
340010,WAYNE MEMORIAL HOSPITAL,2700 WAYNE MEMORIAL DR,GOLDSBORO,WAYNE,NC,27534,9197361110,98,2,0,99,95,4,1,97,83,15,2,93,77,22,1,92,,798,243,33,10/1/2017,9/30/2018
340014,NOVANT HEALTH FORSYTH MEDICAL CENTER,3333 SILAS CREEK PARKWAY,WINSTON-SALEM,FORSYTH,NC,27103,3367185000,98,2,0,99,93,6,1,96,90,8,2,95,89,9,2,95,,4679,1456,31,10/1/2017,9/30/2018
340015,NOVANT HEALTH ROWAN MEDICAL CENTER,612 MOCKSVILLE AVE,SALISBURY,ROWAN,NC,28144,7042105000,99,1,0,99,93,6,1,96,91,9,0,96,86,14,0,95,,1273,324,25,10/1/2017,9/30/2018
340017,MARGARET R PARDEE MEMORIAL HOSPITAL,800 N JUSTICE ST,HENDERSONVILLE,HENDERSON,NC,28791,8286961000,97,3,0,98,90,8,2,94,84,14,2,94,84,15,1,94,,3304,1246,38,10/1/2017,9/30/2018
340021,CAROLINAS HEALTHCARE SYSTEM CLEVELAND,201 E GROVER ST,SHELBY,CLEVELAND,NC,28150,7044873000,97,3,0,99,92,7,1,96,87,10,3,95,84,14,2,94,,1214,248,20,10/1/2017,9/30/2018
340024,SAMPSON REGIONAL MEDICAL CENTER,607 BEAMAN ST,CLINTON,SAMPSON,NC,28328,9105928511,96,4,0,98,93,6,1,96,80,18,2,93,72,25,3,89,,1862,504,27,10/1/2017,9/30/2018
340027,UNC LENOIR HEALTH CARE,100 AIRPORT RD,KINSTON,LENOIR,NC,28501,2525227000,98,2,0,99,93,5,2,95,84,13,3,93,81,17,2,92,,1192,375,31,10/1/2017,9/30/2018
340030,DUKE UNIVERSITY HOSPITAL,PO BOX 3814 DUMC  ERWIN RD,DURHAM,DURHAM,NC,27710,9196848111,97,3,0,98,93,6,1,96,90,8,2,95,91,7,2,96,,2152,660,31,10/1/2017,9/30/2018
340037,CAROLINAS HEALTHCARE SYSTEM KINGS MOUNTAIN,706 W KING ST,KINGS MOUNTAIN,CLEVELAND,NC,28086,7047393601,97,3,0,98,92,7,1,95,82,15,3,93,84,14,2,94,3,340,93,27,10/1/2017,9/30/2018
340041,CALDWELL MEMORIAL HOSPITAL,321 MULBERRY ST SW,LENOIR,CALDWELL,NC,28645,8287575100,,,,,,,,,,,,,,,,,4,,,,,
340042,ONSLOW MEMORIAL HOSPITAL,317 WESTERN BOULEVARD,JACKSONVILLE,ONSLOW,NC,28540,9105772345,98,2,0,99,94,5,1,97,88,10,2,95,82,16,2,93,,1385,394,29,10/1/2017,9/30/2018
340049,NORTH CAROLINA SPECIALTY HOSPITAL,3916 BEN FRANKLIN BOULEVARD,DURHAM,DURHAM,NC,27704,9199569300,97,3,0,98,92,7,1,96,86,12,2,94,88,10,2,95,,1796,668,37,10/1/2017,9/30/2018
340051,WATAUGA MEDICAL CENTER,336 DEERFIELD ROAD,BOONE,WATAUGA,NC,28607,8282624100,98,2,0,99,91,7,2,95,86,13,1,95,86,13,1,95,,2972,449,16,10/1/2017,9/30/2018
340053,NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER,200 HAWTHORNE LANE,CHARLOTTE,MECKLENBURG,NC,28233,7043844000,96,4,0,98,91,7,2,95,85,12,3,94,83,15,2,93,,4417,1100,25,10/1/2017,9/30/2018
340061,UNIVERSITY OF NORTH CAROLINA HOSPITAL,101 MANNING DRIVE,CHAPEL HILL,ORANGE,NC,27514,9199664141,96,3,1,98,94,5,1,96,87,11,2,95,89,9,2,95,,3694,1022,28,10/1/2017,9/30/2018
340070,ALAMANCE REGIONAL MEDICAL CENTER,1240 HUFFMAN MILL RD,BURLINGTON,ALAMANCE,NC,27216,3365387000,,,,,,,,,,,,,,,,,4,,,,,
340071,BETSY JOHNSON REGIONAL HOSPITAL,800 TILGHMAN DR,DUNN,HARNETT,NC,28334,9108927161,97,3,0,98,91,8,1,95,79,19,2,92,71,27,2,89,,1604,372,23,10/1/2017,9/30/2018
340073,DUKE HEALTH RALEIGH HOSPITAL,3400 WAKE FOREST RD,RALEIGH,WAKE,NC,27609,9199543000,97,3,0,98,91,7,2,94,85,11,4,93,85,12,3,94,,1236,408,33,10/1/2017,9/30/2018
340075,CAROLINAS HEALTHCARE SYSTEM-BLUE RIDGE,2201 S STERLING ST,MORGANTON,BURKE,NC,28655,8285805000,,,,,,,,,,,,,,,,,4,,,,,
340085,NOVANT HEALTH THOMASVILLE MEDICAL CENTER,207 OLD LEXINGTON RD,THOMASVILLE,DAVIDSON,NC,27360,3364722000,98,2,0,99,93,6,1,96,88,10,2,95,86,11,3,94,,1396,358,26,10/1/2017,9/30/2018
340087,THE MCDOWELL HOSPITAL,430 RANKIN DRIVE,MARION,MC DOWELL,NC,28752,8286595000,97,3,0,98,93,6,1,96,83,15,2,94,84,15,1,94,,1137,282,25,10/1/2017,9/30/2018
340090,JOHNSTON HEALTH,509 BRIGHT LEAF BLVD,SMITHFIELD,JOHNSTON,NC,27577,9199348171,96,3,1,98,90,8,2,94,87,11,2,95,88,11,1,96,,4576,942,21,10/1/2017,9/30/2018
340091,"MOSES H. CONE MEMORIAL HOSPITAL, THE",1200 N ELM ST,GREENSBORO,GUILFORD,NC,27401,3368327000,,,,,,,,,,,,,,,,,4,,,,,
340098,CAROLINAS MEDICAL CENTER-PINEVILLE,10628 PARK RD,CHARLOTTE,MECKLENBURG,NC,28210,7043795000,97,3,0,98,91,7,2,94,90,9,1,95,86,13,1,95,,1318,302,23,10/1/2017,9/30/2018
340113,CAROLINAS MEDICAL CENTER/BEHAV HEALTH,1000 BLYTHE BLVD,CHARLOTTE,MECKLENBURG,NC,28203,7043552000,,,,,,,,,,,,,,,,,4,,,,,
340114,REX HOSPITAL,4420 LAKE BOONE TRAIL,RALEIGH,WAKE,NC,27607,9197843100,98,2,0,99,93,6,1,96,90,9,1,95,90,9,1,96,,7952,2559,32,10/1/2017,9/30/2018
340115,FIRSTHEALTH MOORE REGIONAL HOSPITAL,155 MEMORIAL DRIVE,PINEHURST,MOORE,NC,28374,9107151000,96,4,0,98,91,7,2,95,88,10,2,95,85,13,2,94,,1521,392,26,10/1/2017,9/30/2018
340119,STANLY REGIONAL MEDICAL CENTER,301 YADKIN ST,ALBEMARLE,STANLY,NC,28001,7049844000,,,,,,,,,,,,,,,,,4,,,,,
340123,RANDOLPH HOSPITAL,364 WHITE OAK STREET,ASHEBORO,RANDOLPH,NC,27204,3366255151,98,2,0,99,91,7,2,95,84,14,2,94,79,20,1,92,,1961,543,28,10/1/2017,9/30/2018
340130,CAROLINAS HEALTHCARE SYSTEM UNION,600 HOSPITAL DR,MONROE,UNION,NC,28112,7042833100,99,1,0,99,95,4,1,97,92,8,0,96,89,10,1,96,,865,187,22,10/1/2017,9/30/2018
340131,CAROLINA EAST MEDICAL CENTER,2000 NEUSE BLVD,NEW BERN,CRAVEN,NC,28560,2526338640,97,3,0,98,91,7,2,95,89,9,2,95,87,11,2,94,,3068,965,31,10/1/2017,9/30/2018
340141,NEW HANOVER REGIONAL MEDICAL CENTER,2131 S 17TH ST,WILMINGTON,NEW HANOVER,NC,28402,9103437000,97,3,0,98,93,6,1,96,87,11,2,94,88,10,2,95,,4446,1423,33,10/1/2017,9/30/2018
340143,CATAWBA VALLEY MEDICAL CENTER,810 FAIRGROVE CHURCH RD,HICKORY,CATAWBA,NC,28602,8283263809,97,3,0,98,91,8,1,95,88,10,2,95,86,13,1,95,,2896,849,31,10/1/2017,9/30/2018
340145,CAROLINAS HEALTHCARE SYSTEM LINCOLN,433 MCALISTER RD,LINCOLNTON,LINCOLN,NC,28092,9802122000,98,2,0,99,94,5,1,97,90,9,1,96,87,12,1,95,,1786,328,18,10/1/2017,9/30/2018
340147,NASH GENERAL HOSPITAL,2460 CURTIS ELLIS DRIVE,ROCKY MOUNT,NASH,NC,27804,2524438000,97,2,1,98,92,7,1,96,85,12,3,94,77,21,2,91,,2339,718,31,10/1/2017,9/30/2018
340148,NOVANT HEALTH MEDICAL PARK HOSPITAL,1950 S HAWTHORNE RD,WINSTON-SALEM,FORSYTH,NC,27103,3367180600,98,2,0,99,92,6,2,95,90,9,1,95,90,9,1,96,,1534,417,27,10/1/2017,9/30/2018
340155,DUKE REGIONAL HOSPITAL,3643 N ROXBORO ROAD,DURHAM,DURHAM,NC,27704,9196201078,98,2,0,99,91,7,2,94,86,12,2,94,87,12,1,95,,1335,399,30,10/1/2017,9/30/2018
340158,NOVANT HEALTH BRUNSWICK MEDICAL CENTER,1 MEDICAL CENTER DR,SUPPLY,BRUNSWICK,NC,28462,9107558121,98,2,0,99,91,7,2,95,87,10,3,94,84,14,2,93,,1057,371,35,10/1/2017,9/30/2018
340166,CAROLINAS MED CTR-UNIVERSITY,8800 NORTH TYRON STREET,CHARLOTTE,MECKLENBURG,NC,28262,7045486000,97,3,0,98,93,5,2,96,84,14,2,93,81,17,2,92,,1241,218,18,10/1/2017,9/30/2018
340171,NOVANT HEALTH MATTHEWS MEDICAL CENTER,1500 MATTHEWS TWNSHP PRKWY,MATTHEWS,MECKLENBURG,NC,28106,7043846500,97,3,0,98,89,9,2,94,87,11,2,94,85,14,1,94,,1740,404,23,10/1/2017,9/30/2018
340183,NOVANT HEALTH HUNTERSVILLE MEDICAL CENTER,10030 GILEAD ROAD,HUNTERSVILLE,MECKLENBURG,NC,28078,7043164000,97,2,1,98,91,7,2,95,88,10,2,94,86,12,2,94,,1483,373,25,10/1/2017,9/30/2018
341307,PENDER MEMORIAL HOSPITAL,507 E FREMONT ST,BURGAW,PENDER,NC,28425,9103004004,99,1,0,100,97,1,2,98,91,9,0,96,88,12,0,96,3,195,67,35,10/1/2017,9/30/2018
341316,HIGHLANDS CASHIERS HOSPITAL INC,190 HOSPITAL DRIVE,HIGHLANDS,MACON,NC,28741,8285261200,,,,,,,,,,,,,,,,,4,,,,,
341319,"TRANSYLVANIA REGIONAL HOSPITAL, INC",90 HOSPITAL DRIVE,BREVARD,TRANSYLVANIA,NC,28712,8288835302,96,3,1,98,91,7,2,94,79,19,2,93,81,17,2,93,,1290,334,27,10/1/2017,9/30/2018
341323,CHARLES A CANNON JR MEMORIAL HOSPITAL,434 HOSPITAL DRIVE,LINVILLE,AVERY,NC,28646,8287377000,99,1,0,99,96,3,1,98,89,11,0,97,86,14,0,95,3,397,73,19,10/1/2017,9/30/2018
341326,ANGEL MEDICAL CENTER,120 RIVERVIEW ST,FRANKLIN,MACON,NC,28734,8285248411,96,3,1,98,92,6,2,95,85,11,4,94,82,16,2,93,,1071,263,26,10/1/2017,9/30/2018
341329,"BLUE RIDGE REGIONAL HOSPITAL, INC",125 HOSPITAL DR,SPRUCE PINE,MITCHELL,NC,28777,8287654201,98,2,0,99,92,7,1,96,86,12,2,95,90,9,1,96,,833,199,25,10/1/2017,9/30/2018
350006,TRINITY HOSPITALS,407 3RD ST SE,MINOT,WARD,ND,58701,7018575000,,,,,,,,,,,,,,,,,4,,,,,
350011,SANFORD MEDICAL CENTER FARGO,801 BROADWAY NORTH,FARGO,CASS,ND,58122,7012342000,96,4,0,98,90,9,1,94,78,17,5,92,81,16,3,92,,1037,341,33,10/1/2017,9/30/2018
350019,ALTRU HOSPITAL,1200 S COLUMBIA RD,GRAND FORKS,GRAND FORKS,ND,58201,7017805000,98,2,0,99,91,7,2,95,77,20,3,92,74,25,1,91,,4743,1607,34,10/1/2017,9/30/2018
360003,"UNIVERSITY OF CINCINNATI MEDICAL CENTER, LLC",234 GOODMAN STREET,CINCINNATI,HAMILTON,OH,45219,5135841000,95,4,1,97,89,9,2,93,74,19,7,89,73,22,5,89,,2133,420,21,10/1/2017,9/30/2018
360006,RIVERSIDE METHODIST HOSPITAL,3535 OLENTANGY RIVER RD,COLUMBUS,FRANKLIN,OH,43214,6145665000,,,,,,,,,,,,,,,,,4,,,,,
360008,SOUTHERN OHIO MEDICAL CENTER,1805 27TH STREET,PORTSMOUTH,SCIOTO,OH,45662,7403565000,97,3,0,98,90,7,3,94,85,14,1,95,83,15,2,94,,1650,346,22,10/1/2017,9/30/2018
360009,LIMA MEMORIAL HEALTH SYSTEM,1001 BELLEFONTAINE AVENUE,LIMA,ALLEN,OH,45804,4192263335,95,5,0,97,87,11,2,93,78,18,4,91,74,23,3,90,,3304,818,25,10/1/2017,9/30/2018
360011,MARION GENERAL HOSPITAL,1000 MCKINLEY PARK DRIVE,MARION,MARION,OH,43302,7403838400,,,,,,,,,,,,,,,,,4,,,,,
360013,WILSON MEMORIAL HOSPITAL,915 WEST MICHIGAN STREET,SIDNEY,SHELBY,OH,45365,9374985405,97,3,0,98,87,11,2,92,77,20,3,92,69,28,3,88,,834,235,28,10/1/2017,9/30/2018
360014,OHIOHEALTH O'BLENESS HOSPITAL,55 HOSPITAL DRIVE,ATHENS,ATHENS,OH,45701,7405935551,,,,,,,,,,,,,,,,,4,,,,,
360017,GRANT MEDICAL CENTER,111 SOUTH GRANT AVENUE,COLUMBUS,FRANKLIN,OH,43215,6145669000,,,,,,,,,,,,,,,,,4,,,,,
360020,SUMMA HEALTH SYSTEM,525 EAST MARKET STREET,AKRON,SUMMIT,OH,44309,3303753000,96,4,0,98,90,8,2,94,83,14,3,93,79,19,2,92,,6586,1713,26,10/1/2017,9/30/2018
360026,GREENE MEMORIAL HOSPITAL,1141 NORTH MONROE DRIVE,XENIA,GREENE,OH,45385,9373522000,98,2,0,99,92,7,1,95,84,14,2,93,76,22,2,91,,981,318,32,10/1/2017,9/30/2018
360036,WOOSTER COMMUNITY HOSPITAL,1761 BEALL AVENUE,WOOSTER,WAYNE,OH,44691,3303308100,98,2,0,99,92,7,1,95,87,11,2,94,84,15,1,94,,1803,606,34,10/1/2017,9/30/2018
360037,ST VINCENT CHARITY MEDICAL CENTER,2351 EAST 22ND STREET,CLEVELAND,CUYAHOGA,OH,44115,2168616200,96,3,1,98,90,8,2,94,86,11,3,93,81,15,4,92,,2413,688,29,10/1/2017,9/30/2018
360039,GENESIS HOSPITAL,2951 MAPLE AVENUE,ZANESVILLE,MUSKINGUM,OH,43701,7404545000,98,2,0,99,91,7,2,94,87,11,2,94,85,13,2,94,,2821,713,26,10/1/2017,9/30/2018
360040,KNOX COMMUNITY HOSPITAL,1330 COSHOCTON ROAD,MOUNT VERNON,KNOX,OH,43050,7403939000,96,4,0,98,89,9,2,94,78,17,5,91,71,27,2,90,,1545,425,28,10/1/2017,9/30/2018
360044,WAYNE HEALTHCARE,835 SWEITZER STREET,GREENVILLE,DARKE,OH,45331,9375475722,98,2,0,99,92,6,2,95,86,13,1,94,68,31,1,89,,568,221,39,10/1/2017,9/30/2018
360046,MCCULLOUGH-HYDE MEMORIAL HOSPITAL,110 NORTH POPLAR STREET,OXFORD,BUTLER,OH,45056,5135245640,97,2,1,98,92,7,1,95,84,15,1,94,77,22,1,92,,1740,545,31,10/1/2017,9/30/2018
360051,MIAMI VALLEY HOSPITAL,ONE WYOMING STREET,DAYTON,MONTGOMERY,OH,45409,9372083023,97,2,1,98,92,7,1,95,89,9,2,95,84,13,3,93,,3896,1078,28,10/1/2017,9/30/2018
360059,METROHEALTH SYSTEM,2500 METROHEALTH DRIVE,CLEVELAND,CUYAHOGA,OH,44109,2167787089,93,6,1,96,87,10,3,92,79,17,4,91,75,21,4,89,,2923,738,25,10/1/2017,9/30/2018
360065,FISHER-TITUS HOSPITAL,272 BENEDICT AVENUE,NORWALK,HURON,OH,44857,4196688101,97,2,1,98,95,4,1,97,90,8,2,95,82,16,2,93,,1148,368,33,10/1/2017,9/30/2018
360068,PROMEDICA TOLEDO HOSPITAL,2142 NORTH COVE BOULEVARD,TOLEDO,LUCAS,OH,43606,4192917463,,,,,,,,,,,,,,,,,4,,,,,
360070,MERCY MEDICAL CENTER,1320 MERCY DRIVE NW,CANTON,STARK,OH,44708,3304891001,97,3,0,98,90,8,2,94,81,16,3,93,82,15,3,92,,1486,451,30,10/1/2017,9/30/2018
360072,FAIRFIELD MEDICAL CENTER,401 NORTH EWING STREET,LANCASTER,FAIRFIELD,OH,43130,7406878009,97,3,0,98,91,7,2,94,85,13,2,94,82,17,1,93,2,2238,727,33,10/1/2017,9/30/2018
360074,FLOWER HOSPITAL,5200 HARROUN ROAD,SYLVANIA,LUCAS,OH,43560,4198241444,,,,,,,,,,,,,,,,,4,,,,,
360076,ATRIUM MEDICAL CENTER,ONE MEDICAL CENTER DRIVE,FRANKLIN,WARREN,OH,45005,5134205102,98,2,0,99,94,5,1,96,92,6,2,96,83,15,2,93,,1809,484,27,10/1/2017,9/30/2018
360079,KETTERING MEDICAL CENTER,3535 SOUTHERN BOULEVARD,KETTERING,MONTGOMERY,OH,45429,9373958165,97,3,0,98,91,8,1,95,87,10,3,94,90,9,1,96,,1074,292,27,10/1/2017,9/30/2018
360080,EAST OHIO REGIONAL HOSPITAL,90 NORTH FOURTH STREET,MARTINS FERRY,BELMONT,OH,43935,7406331100,96,4,0,98,86,12,2,92,76,20,4,91,70,26,4,88,,938,322,42,10/1/2017,9/30/2018
360084,AULTMAN HOSPITAL,2600 SIXTH STREET SW,CANTON,STARK,OH,44710,3303636352,97,3,0,98,91,7,2,94,86,12,2,94,85,13,2,94,,2058,758,37,10/1/2017,9/30/2018
360085,OHIO STATE UNIVERSITY STATE HEALTH SYSTEM,410 WEST 10TH AVENUE,COLUMBUS,FRANKLIN,OH,43210,6142939700,97,3,0,98,92,6,2,95,87,11,2,94,87,11,2,95,,11362,2599,23,10/1/2017,9/30/2018
360090,ST LUKE'S HOSPITAL,5901 MONCLOVA ROAD,MAUMEE,LUCAS,OH,43537,4198935900,,,,,,,,,,,,,,,,,4,,,,,
360098,LAKE HEALTH,7590 AUBURN ROAD,CONCORD,LAKE,OH,44077,4409539600,97,3,0,99,91,7,2,95,84,12,4,93,78,20,2,91,2,1685,462,28,10/1/2017,9/30/2018
360107,BELLEVUE HOSPITAL,1400 WEST MAIN STREET,BELLEVUE,SANDUSKY,OH,44811,4194834040,98,2,0,99,89,9,2,94,89,9,2,94,84,15,1,94,,906,206,27,10/1/2017,9/30/2018
360109,COSHOCTON REGIONAL MEDICAL CENTER,1460 ORANGE STREET,COSHOCTON,COSHOCTON,OH,43812,7406234144,96,4,0,98,93,6,1,96,78,16,6,90,65,33,2,87,,939,308,33,10/1/2017,9/30/2018
360118,OHIOHEALTH MANSFIELD HOSPITAL,335 GLESSNER AVENUE,MANSFIELD,RICHLAND,OH,44903,4195268000,,,,,,,,,,,,,,,,,4,,,,,
360132,FORT HAMILTON HUGHES MEMORIAL HOSPITAL,630 EATON AVENUE,HAMILTON,BUTLER,OH,45013,5138672000,98,2,0,99,90,8,2,94,85,13,2,94,77,20,3,91,,2200,550,25,10/1/2017,9/30/2018
360133,GRANDVIEW AND SOUTHVIEW HOSPITALS,405 GRAND AVENUE,DAYTON,MONTGOMERY,OH,45405,9377233200,97,3,0,98,91,7,2,94,86,12,2,94,87,12,1,95,,2363,621,26,10/1/2017,9/30/2018
360134,GOOD SAMARITAN HOSPITAL,375 DIXMYTH AVENUE,CINCINNATI,HAMILTON,OH,45220,5138622601,97,2,1,98,91,7,2,94,85,12,3,93,86,11,3,94,,1841,498,27,10/1/2017,9/30/2018
360148,POMERENE HOSPITAL,981 WOOSTER ROAD,MILLERSBURG,HOLMES,OH,44654,3306741015,,,,,,,,,,,,,,,,,4,,,,,
360152,DOCTORS HOSPITAL,5100 WEST BROAD STREET,COLUMBUS,FRANKLIN,OH,43228,6145441000,,,,,,,,,,,,,,,,,4,,,,,
360153,BELMONT COMMUNITY HOSPITAL,4697 HARRISON STREET,BELLAIRE,BELMONT,OH,43906,7406711200,,,,,,,,,,,,,,,,,4,,,,,
360155,SOUTHWEST GENERAL HEALTH CENTER,18697 BAGLEY ROAD,MIDDLEBURG HEIGHTS,CUYAHOGA,OH,44130,4408166701,97,3,0,98,90,8,2,94,88,10,2,95,83,15,2,93,,3996,1342,34,10/1/2017,9/30/2018
360156,MEMORIAL HOSPITAL,715 SOUTH TAFT AVENUE,FREMONT,SANDUSKY,OH,43420,4193346617,,,,,,,,,,,,,,,,,4,,,,,
360170,BERGER HOSPITAL,600 NORTH PICKAWAY STREET,CIRCLEVILLE,PICKAWAY,OH,43113,7404208585,97,3,0,98,88,10,2,93,80,15,5,92,74,23,3,90,,951,266,28,10/1/2017,9/30/2018
360174,UPPER VALLEY MEDICAL CENTER,3130 NORTH COUNTY ROAD 25A,TROY,MIAMI,OH,45373,9374407853,98,2,0,99,91,8,1,95,87,12,1,94,76,22,2,91,,1445,501,35,10/1/2017,9/30/2018
360179,BETHESDA NORTH,10500 MONTGOMERY ROAD,CINCINNATI,HAMILTON,OH,45242,5138651241,98,2,0,99,91,7,2,94,88,10,2,95,87,12,1,95,,9734,2950,30,10/1/2017,9/30/2018
360189,MADISON HEALTH,210 NORTH MAIN STREET,LONDON,MADISON,OH,43140,7408457000,98,1,1,99,91,6,3,94,81,17,2,93,76,22,2,90,,820,196,25,10/1/2017,9/30/2018
360203,SOUTHEASTERN OHIO REGIONAL MEDICAL CENTER,1341 NORTH CLARK STREET,CAMBRIDGE,GUERNSEY,OH,43725,7404398000,98,1,1,99,94,5,1,96,83,13,4,92,72,26,2,90,2,1612,513,32,10/1/2017,9/30/2018
360210,GRADY MEMORIAL HOSPITAL,561 WEST CENTRAL AVENUE,DELAWARE,DELAWARE,OH,43015,7403685145,,,,,,,,,,,,,,,,,4,,,,,
360218,LICKING MEMORIAL HOSPITAL,1320 WEST MAIN STREET,NEWARK,LICKING,OH,43055,2205644000,,,,,,,,,,,,,,,,,4,,,,,
360239,KETTERING MEDICAL CENTER - SYCAMORE,4000 MIAMISBURG-CENTERVILLE ROAD,MIAMISBURG,MONTGOMERY,OH,45342,9373848776,98,2,0,99,94,4,2,96,92,7,1,96,90,8,2,96,,1334,406,30,10/1/2017,9/30/2018
